CGPA,Internships,Projects,Coding_Skills_Score,Communication_Skills_Score,Placement_Status
8.1,1,4,42.2,68.4,1
7.33,2,5,97.2,81.4,1
8.28,1,2,57.5,59.9,0
9.33,5,3,75.9,35.5,0
7.22,1,2,65.9,78.6,0
7.22,4,1,68.8,73.2,1
9.4,2,3,75.2,62.6,1
8.42,0,1,52.5,77.3,1
6.94,1,7,88.5,80.4,1
8.15,3,6,36.6,45.3,1
6.94,2,3,46.3,68.3,1
6.94,3,4,88.3,33.8,1
7.79,3,1,75.6,66.1,1
5.2,1,1,100.0,62.4,0
5.43,0,2,66.2,75.4,0
6.83,1,3,95.6,51.9,1
6.28,4,3,31.6,61.7,1
7.88,2,1,39.6,19.8,0
6.41,4,4,81.1,76.4,1
5.81,3,1,33.7,66.7,0
9.26,2,3,61.4,69.3,1
7.23,3,3,86.0,45.6,1
7.58,2,1,74.0,74.0,0
5.79,2,2,65.2,92.8,0
6.85,2,4,56.9,65.2,1
7.63,3,2,68.6,77.8,1
6.12,1,0,75.4,54.9,0
7.95,2,4,53.1,66.8,0
6.78,3,0,71.7,45.0,0
7.15,2,2,84.4,79.8,1
6.78,0,5,61.0,70.4,1
9.72,1,1,66.2,49.7,0
7.48,2,5,73.7,56.0,1
6.23,2,4,74.9,68.9,1
8.49,1,4,80.8,81.9,1
6.03,0,3,46.7,90.2,0
7.75,5,6,55.5,66.0,1
5.15,2,2,56.1,47.5,0
5.91,1,4,48.7,71.6,1
7.74,2,2,32.6,94.8,1
8.39,0,5,6.4,43.7,0
7.71,2,3,86.5,53.7,1
7.36,1,3,37.0,77.2,0
7.14,3,3,93.2,70.3,0
5.73,4,1,78.3,59.8,1
6.64,2,3,57.7,71.3,0
6.95,0,6,76.1,82.7,0
8.77,2,3,72.7,66.5,1
7.91,2,1,45.2,65.2,0
5.38,3,3,64.7,76.8,1
7.89,5,3,47.4,63.9,1
7.04,2,2,76.8,85.1,0
6.69,3,3,52.1,98.4,1
8.23,3,0,63.3,54.6,0
8.74,2,8,62.5,49.2,1
8.62,5,1,67.2,73.6,1
6.49,2,1,94.9,48.7,1
7.13,5,3,60.7,48.5,1
7.9,0,2,86.9,37.3,1
8.67,1,2,73.6,62.3,1
6.92,1,3,90.5,67.5,1
7.28,2,4,58.9,60.2,1
6.17,1,3,77.5,88.9,0
6.06,1,7,63.9,87.7,0
8.48,0,3,11.2,96.9,0
9.13,3,3,45.4,68.7,1
7.41,3,3,75.5,85.8,1
8.7,0,5,74.3,72.6,0
7.93,1,5,41.7,71.1,1
6.73,2,4,69.0,61.0,0
7.93,5,4,74.1,34.1,1
9.35,1,2,64.4,77.6,1
7.46,3,6,78.1,85.3,1
9.38,0,3,75.7,45.1,1
4.36,2,2,64.4,67.9,0
8.49,1,6,55.8,82.9,1
7.6,1,4,83.8,62.6,1
7.14,2,3,73.3,85.9,1
7.61,2,3,40.1,65.9,0
5.11,1,6,69.0,60.1,0
7.24,1,4,44.3,86.8,0
7.93,1,2,47.6,54.0,0
9.27,1,1,53.3,57.1,1
6.88,3,3,65.8,54.6,1
6.53,2,4,71.7,50.9,0
6.9,5,5,57.6,70.3,1
8.6,1,6,58.4,60.3,1
7.89,3,2,55.9,75.3,1
6.86,2,4,83.9,42.0,1
8.12,3,4,13.6,51.2,0
7.62,3,0,59.4,68.8,0
8.66,3,4,92.8,90.0,1
6.66,0,5,74.3,73.7,0
7.11,3,2,87.8,59.2,1
7.03,2,5,28.4,45.7,0
5.74,1,4,42.6,58.3,0
7.86,2,5,74.3,67.4,1
7.81,3,2,92.9,32.6,0
7.51,0,2,44.5,49.8,0
7.22,2,0,58.0,56.9,1
5.8,0,4,72.2,64.1,0
7.0,0,1,38.9,67.2,0
7.09,2,2,74.4,58.8,1
6.54,1,3,16.8,75.6,0
7.31,0,2,73.9,69.9,1
7.98,1,2,47.1,62.4,0
9.76,2,1,56.9,77.7,1
7.71,3,3,76.7,76.4,1
7.81,4,4,73.1,46.2,1
7.41,2,6,64.9,67.5,0
5.2,2,3,82.4,81.4,1
7.47,2,2,34.4,83.9,1
7.57,0,3,68.7,73.6,1
10.0,2,1,50.8,64.5,1
7.27,3,2,81.5,74.3,1
7.86,1,1,77.4,80.1,0
7.46,5,3,78.0,69.7,1
